id,left,top,right,bottom,GVI_2_mean,ndvi_mean,greenery,genus,x,y,greenery_c
11550.000000000000000,-13167367.074185863137245,4018919.921877001877874,-13166867.074185864999890,4018419.921877001877874,0.091671000000000,0.104903000000000,0.197000000000000,7,-13167117.0741858650,4018669.9218770014,0.104903
11284.000000000000000,-13168367.074185864999890,4018919.921877001877874,-13167867.074185864999890,4018419.921877001877874,0.134978000000000,0.139170000000000,0.274000000000000,7,-13168117.0741858650,4018669.9218770014,0.139170
11949.000000000000000,-13165867.074185864999890,4018919.921877001877874,-13165367.074185864999890,4018419.921877001877874,0.100516000000000,0.115994000000000,0.217000000000000,13,-13165617.0741858650,4018669.9218770014,0.115994
11417.000000000000000,-13167867.074185864999890,4018919.921877001877874,-13167367.074185863137245,4018419.921877001877874,0.127310000000000,0.146792000000000,0.274000000000000,17,-13167617.0741858650,4018669.9218770014,0.146792
11683.000000000000000,-13166867.074185864999890,4018919.921877001877874,-13166367.074185864999890,4018419.921877001877874,0.121008000000000,0.128539000000000,0.250000000000000,17,-13166617.0741858650,4018669.9218770014,0.128539
12348.000000000000000,-13164367.074185864999890,4018919.921877001877874,-13163867.074185866862535,4018419.921877001877874,0.118296000000000,0.135572000000000,0.254000000000000,12,-13164117.0741858650,4018669.9218770014,0.135572
12082.000000000000000,-13165367.074185864999890,4018919.921877001877874,-13164867.074185864999890,4018419.921877001877874,0.109211000000000,0.141890000000000,0.251000000000000,15,-13165117.0741858650,4018669.9218770014,0.141890
11816.000000000000000,-13166367.074185864999890,4018919.921877001877874,-13165867.074185864999890,4018419.921877001877874,0.118162000000000,0.105227000000000,0.223000000000000,9,-13166117.0741858650,4018669.9218770014,0.118162
12215.000000000000000,-13164867.074185864999890,4018919.921877001877874,-13164367.074185864999890,4018419.921877001877874,0.146461000000000,0.151918000000000,0.298000000000000,16,-13164617.0741858650,4018669.9218770014,0.151918
11283.000000000000000,-13168367.074185864999890,4019419.921877001877874,-13167867.074185864999890,4018919.921877001877874,0.075923000000000,0.102841000000000,0.179000000000000,4,-13168117.0741858650,4019169.9218770014,0.102841
11549.000000000000000,-13167367.074185863137245,4019419.921877001877874,-13166867.074185864999890,4018919.921877001877874,0.070438000000000,0.095578000000000,0.166000000000000,6,-13167117.0741858650,4019169.9218770014,0.095578
11948.000000000000000,-13165867.074185864999890,4019419.921877001877874,-13165367.074185864999890,4018919.921877001877874,0.105988000000000,0.119102000000000,0.225000000000000,11,-13165617.0741858650,4019169.9218770014,0.119102
11416.000000000000000,-13167867.074185864999890,4019419.921877001877874,-13167367.074185863137245,4018919.921877001877874,0.091163000000000,0.122382000000000,0.214000000000000,11,-13167617.0741858650,4019169.9218770014,0.122382
11682.000000000000000,-13166867.074185864999890,4019419.921877001877874,-13166367.074185864999890,4018919.921877001877874,0.072716000000000,0.114135000000000,0.187000000000000,7,-13166617.0741858650,4019169.9218770014,0.114135
12081.000000000000000,-13165367.074185864999890,4019419.921877001877874,-13164867.074185864999890,4018919.921877001877874,0.096175000000000,0.114306000000000,0.210000000000000,15,-13165117.0741858650,4019169.9218770014,0.114306
11815.000000000000000,-13166367.074185864999890,4019419.921877001877874,-13165867.074185864999890,4018919.921877001877874,0.086012000000000,0.109245000000000,0.195000000000000,11,-13166117.0741858650,4019169.9218770014,0.109245
12347.000000000000000,-13164367.074185864999890,4019419.921877001877874,-13163867.074185866862535,4018919.921877001877874,0.126404000000000,0.125478000000000,0.252000000000000,16,-13164117.0741858650,4019169.9218770014,0.126404
12214.000000000000000,-13164867.074185864999890,4019419.921877001877874,-13164367.074185864999890,4018919.921877001877874,0.134608000000000,0.125577000000000,0.260000000000000,10,-13164617.0741858650,4019169.9218770014,0.134608
12346.000000000000000,-13164367.074185864999890,4019919.921877001877874,-13163867.074185866862535,4019419.921877001877874,0.105822000000000,0.103839000000000,0.210000000000000,10,-13164117.0741858650,4019669.9218770014,0.105822
12878.000000000000000,-13162367.074185864999890,4019919.921877001877874,-13161867.074185864999890,4019419.921877001877874,0.101125000000000,0.106666000000000,0.208000000000000,5,-13162117.0741858650,4019669.9218770014,0.106666
12479.000000000000000,-13163867.074185866862535,4019919.921877001877874,-13163367.074185864999890,4019419.921877001877874,0.123528000000000,0.164599000000000,0.288000000000000,3,-13163617.0741858650,4019669.9218770014,0.164599
11947.000000000000000,-13165867.074185864999890,4019919.921877001877874,-13165367.074185864999890,4019419.921877001877874,0.086704000000000,0.100280000000000,0.187000000000000,11,-13165617.0741858650,4019669.9218770014,0.100280
11548.000000000000000,-13167367.074185863137245,4019919.921877001877874,-13166867.074185864999890,4019419.921877001877874,0.066678000000000,0.072459000000000,0.139000000000000,4,-13167117.0741858650,4019669.9218770014,0.072459
12745.000000000000000,-13162867.074185864999890,4019919.921877001877874,-13162367.074185864999890,4019419.921877001877874,0.098773000000000,0.110779000000000,0.210000000000000,10,-13162617.0741858650,4019669.9218770014,0.110779
11415.000000000000000,-13167867.074185864999890,4019919.921877001877874,-13167367.074185863137245,4019419.921877001877874,0.088945000000000,0.122954000000000,0.212000000000000,16,-13167617.0741858650,4019669.9218770014,0.122954
12080.000000000000000,-13165367.074185864999890,4019919.921877001877874,-13164867.074185864999890,4019419.921877001877874,0.073326000000000,0.095807000000000,0.169000000000000,10,-13165117.0741858650,4019669.9218770014,0.095807
11681.000000000000000,-13166867.074185864999890,4019919.921877001877874,-13166367.074185864999890,4019419.921877001877874,0.052164000000000,0.076533000000000,0.129000000000000,9,-13166617.0741858650,4019669.9218770014,0.076533
